Relatório Completo de Análise de Desempenho em Ambientes de Nuvem,,,,,,,,,,,,
,,,,,,,,,,,,
1. Dados Brutos (Execuções Individuais),,,,,,,,,,,,
Plataforma,Linguagem,Algoritmo,Métrica,"Run 1","Run 2","Run 3","Run 4","Run 5","Run 6","Run 7","Run 8","Run 9","Run 10"
Replit,R,Bubble,Tempo (ms),21.56,28.39,30.13,28.87,29.99,39.4,33,36.61,29.81,31.32
Replit,R,Bubble,Memória (KB),5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2
Replit,R,Rápido,Tempo (ms),0.83,0.61,0.56,0.58,0.59,0.71,0.6,0.6,0.79,0.71
Replit,R,Rápido,Memória (KB),4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2
Colab,R,Bubble,Tempo (ms),30.05,30.43,29.84,32.32,30.55,53.39,49.25,49.57,55.15,51.82
Colab,R,Bubble,Memória (KB),5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4,5734.4
Colab,R,Rápido,Tempo (ms),0.9,0.83,0.85,0.87,0.88,0.86,0.87,0.84,0.9,0.85
Colab,R,Rápido,Memória (KB),4710.4,4710.4,4710.4,4710.4,4710.4,4710.4,4710.4,4710.4,4710.4,4710.4
Codespaces,R,Bubble,Tempo (ms),21.42,20.1,18.49,20.68,18.58,18.65,20.25,21.11,22.92,19.24
Codespaces,R,Bubble,Memória (KB),5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2,5427.2
Codespaces,R,Rápido,Tempo (ms),0.44,0.43,0.43,0.44,0.64,0.65,0.44,0.46,0.44,0.44
Codespaces,R,Rápido,Memória (KB),4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2,4403.2
Replit,C,Bubble,Tempo (ms),617.63,607.03,624.59,656.61,642.63,,,,,,
Replit,C,Bubble,Memória (KB),117,117,117,117,117,,,,,,
Colab,C,Bubble,Tempo (ms),3739.22,3844.75,4055.27,3983.23,3697.08,,,,,,
Colab,C,Bubble,Memória (KB),117,117,117,117,117,,,,,,
Codespaces,C,Bubble,Tempo (ms),3676.17,3710.10,4126.70,3948.67,3657.76,,,,,,
Codespaces,C,Bubble,Memória (KB),117,117,117,117,117,,,,,,
,,,,,,,,,,,,
2. Tabela de Resumo (Média e Mediana),,,,,,,,,,,,
Plataforma,Linguagem,Algoritmo,Métrica,Média,Mediana
Replit,R,Bubble,Tempo (ms),30.91,30.06
Replit,R,Bubble,Memória (KB),5427.2,5427.2
Replit,R,Rápido,Tempo (ms),0.66,0.6
Replit,R,Rápido,Memória (KB),4403.2,4403.2
Colab,R,Bubble,Tempo (ms),41.24,40.79
Colab,R,Bubble,Memória (KB),5734.4,5734.4
Colab,R,Rápido,Tempo (ms),0.87,0.865
Colab,R,Rápido,Memória (KB),4710.4,4710.4
Codespaces,R,Bubble,Tempo (ms),20.14,20.18
Codespaces,R,Bubble,Memória (KB),5427.2,5427.2
Codespaces,R,Rápido,Tempo (ms),0.48,0.44
Codespaces,R,Rápido,Memória (KB),4403.2,4403.2
Replit,C,Bubble,Tempo (ms),629.70,624.59
Replit,C,Bubble,Memória (KB),117,117
Colab,C,Bubble,Tempo (ms),3863.91,3844.75
Colab,C,Bubble,Memória (KB),117,117
Codespaces,C,Bubble,Tempo (ms),3823.88,3710.10
Codespaces,C,Bubble,Memória (KB),117,117
,,,,,,,,,,,,
3. Informações dos Ambientes de Teste,,,,,,,,,,,,
Componente,Especificação - Máquina Local,Especificação - Replit,Especificação - Colab,Especificação - Codespaces
Nome do Host,MIGUEL,Desconhecido (Ambiente Compartilhado),Desconhecido (Ambiente Compartilhado),codespace
Sistema Operacional,Microsoft Windows 11 Pro,Ubuntu 24.04.2 LTS,Ubuntu 22.04.4 LTS,Ubuntu 24.04.2 LTS
Versão R,4.5.1,4.3.3,4.5.1,4.3.3
Versão C (GCC),6.3.0,11.4.0 (Padrão Ubuntu),11.4.0 (Padrão Ubuntu),11.4.0 (Padrão Ubuntu)
Processador,Intel64 Family 6 Model 186 Stepping 2 (~2.1 GHz),Compartilhado (Varia),Compartilhado (Varia, Ex: Intel Xeon),Compartilhado (Varia, Ex: Intel Xeon)
Memória RAM,"24 GB @ 5200 MT/s",Compartilhada (Varia),Compartilhada (Varia, Ex: ~12GB Disponível),Compartilhada (Varia, Ex: 16GB)